Input,Class
batch,batch
batch,batch
batc,batch
batc,batch
adjust,adjustment
adjust,adjustment
adjustm,adjustment
adjustm,adjustment
disc,discount
disc,discount
discount,discount
discount,discount
inv,invoice
inv,invoice
invoi,invoice
invoi,invoice
mat,maturity
mat,maturity
maturity,maturity
maturity,maturity
net,net
net,net
pay,payment
pay,payment
payment,payment
payment,payment
po,po
po,po
suplier,suplier
suplier,suplier
txn,transaction
txn,transaction
transaction,transaction
transaction,transaction
batch,batch
transaction,transaction
buyer,buyer
supplier,supplier
invoice,invoice
po,po
invoice,invoice
invoice,invoice
invoice,invoice
maturity,maturity
payment,payment
TENOR,tenor
net,net
gross,gross
discount,discount
adjustment,adjustment
adjustment,adjustment
payment,payment
STATUS,status
NOTES,notes
batch,batch
transaction,transaction
buyer,buyer
supplier,supplier
invoice,invoice
po,po
invoice,invoice
invoice,invoice
invoice,invoice
maturity,maturity
payment,payment
TENOR,tenor
net,net
gross,gross
discount,discount
adjustment,adjustment
adjustment,adjustment
payment,payment
STATUS,status
NOTES,notes
batch,batch
transaction,transaction
buyer,buyer
supplier,supplier
invoice,invoice
po,po
invoice,invoice
invoice,invoice
invoice,invoice
maturity,maturity
payment,payment
TENOR,tenor
net,net
gross,gross
discount,discount
adjustment,adjustment
adjustment,adjustment
payment,payment
STATUS,status
NOTES,notes
batch,batch
transaction,transaction
buyer,buyer
supplier,supplier
invoice,invoice
batch,batch
transaction,transaction
buyer,buyer
supplier,supplier
invoice,invoice
po,po
invoice,invoice
invoice,invoice
invoice,invoice
maturity,maturity
payment,payment
tenor,tenor
net,net
gross,gross
discount,discount
adjustment,adjustment
adjustment,adjustment
payment,payment
status,status
notes,notes
batch,batch
transaction,transaction
buyer,buyer
supplier,supplier
invoice,invoice
po,po
invoice,invoice
invoice,invoice
invoice,invoice
maturity,maturity
payment,payment
tenor,tenor
net,net
gross,gross
discount,discount
adjustment,adjustment
adjustment,adjustment
payment,payment
status,status
notes,notes
