Input,Class
amt,amount
amt,amount
amount,amount
amount,amount
ccy,currency
ccy,currency
currency,currency
currency,currency
date,date
date,date
dt,date
dt,date
duedt,date
duedt,date
reason,reasoncode
reasoncode,reasoncode
reasoncode,reasoncode
reason,reasoncode
ref,reference
ref,reference
num,reference
num,reference
number,reference
number,reference
term,term
term,term
reference,reference
reference,reference
name,name
name,name
reference,reference
reference,reference
date,date
amount,amount
currency,currency
date,date
date,date
amount,amount
amount,amount
amount,amount
amount,amount
reason,reason
term,term
reference,reference
reference,reference
name,name
name,name
reference,reference
reference,reference
date,date
amount,amount
currency,currency
date,date
date,date
amount,amount
amount,amount
amount,amount
amount,amount
reason,reason
term,term
reference,reference
reference,reference
name,name
name,name
reference,reference
reference,reference
date,date
amount,amount
currency,currency
date,date
date,date
amount,amount
amount,amount
amount,amount
amount,amount
reason,reason
term,term
reference,reference
reference,reference
name,name
name,name
reference,reference
reference,reference
date,date
amount,amount
currency,currency
date,date
date,date
amount,amount
amount,amount
amount,amount
amount,amount
reason,reason
term,term
reference,reference
reference,reference
name,name
name,name
reference,reference
reference,reference
reference,reference
name,name
name,name
reference,reference
reference,reference
date,date
amount,amount
currency,currency
date,date
date,date
amount,amount
amount,amount
amount,amount
amount,amount
reason,reason
term,term
reference,reference
reference,reference
name,name
name,name
reference,reference
reference,reference
date,date
amount,amount
currency,currency
date,date
date,date
amount,amount
amount,amount
amount,amount
amount,amount
reason,reason
term,term
